Club,Last Name,First Name,Position,2015 Base Salary,2015 Guaranteed Compensation
NY,Miazga,Matt,D,68250,74500
NY,Miller,Roy,M,200000,200000
NY,Obekop,Marius,M,50000,50000
NY,Ouimette,Karl,D,60000,60000
NY,Perrinelle,Damien,D,132000,132000
NY,Reynish,Kyle,GK,86000,90316
NY,Richards,Dane,M,105000,105000
NY,Robles,Luis,GK,130000,151375
NY,Sam,Lloyd,F,230000,240000
NY,Sanchez,Emmanuel,M,50000,50000
NY,Stolz,Leo,M,70000,86250
NY,Wallace,Anthony,M-D,60000,60000
NY,Wright-Phillips,Bradley,F,600000,660000
NY,Zizzo,Sal,F,80850,94895
NY,Zubar,Ronald,D,240000,320000
NYCFC,Allen,RJ,D,60000,60000
NYCFC,Alvarez,Pablo,M,60000,63045
NYCFC,Ballouchy,Mehdi,M,68250,83250
NYCFC,Brandt,Connor,M,50000,50000
NYCFC,Brovsky,Jeb,M,122500,129125
NYCFC,Calle,Javier,M,200000,225750
NYCFC,Diskerud,Mix,M,750000,750000
NYCFC,Facey,Shay,D,120000,120000
NYCFC,Grabavoy,Ned,M,200000,215000
NYCFC,Hernandez,Jason,D,175000,185000
NYCFC,Iraola,Andoni,D,200004,200004
NYCFC,Jacobson,Andrew,M,150000,150000
NYCFC,Johansen,Eirik,GK,50000,50000
NYCFC,Lampard,Frank,M,6000000,6000000
NYCFC,McNamara,Thomas,M,60000,71500
NYCFC,Meara,Ryan,GK,71663,72913
NYCFC,Mena,Jefferson,D,200000,200000
NYCFC,Mullins,Patrick,F,80000,110000
NYCFC,Nemec,Adam,F,300000,332500
NYCFC,Pirlo,Andrea,M,2000004,2315694
NYCFC,Poku,Kwadwo,M,60000,63045
NYCFC,Saunders,Josh,GK,90000,90000
NYCFC,Shelton,Khiry,F,70000,87500
NYCFC,Tasende,Jose Angel,D,60000,60000
NYCFC,Taylor,Tony,F,75000,84375
NYCFC,Velasquez,Sebastian,M,60000,60000
NYCFC,Villa,David,F,5610000,5610000
NYCFC,Watson-Siriboe,Kwame,D,65000,81666
NYCFC,Williams,Josh,D,125000,125000
NYCFC,Wingert,Chris,D,215000,215000
ORL,Ashe,Corey,M,180000,189750
ORL,Avila,Eric,M,72000,77000
ORL,Boden,Luke,D,75000,75000
ORL,Cascio,Tony,M,78529,112279
ORL,Ceren,Darwin,M,66000,96437
ORL,Collin,Aurelien,D,500000,525000
ORL,Donovan,Conor,D,80000,108000
ORL,Edwards,Earl,GK,50000,50000
ORL,Ford,Josh,GK,60000,60000
ORL,Hall,Tally,GK,215000,228500
ORL,Heath,Harrison,M,60000,60000
ORL,Higuita,Cristian,M,60000,60000
ORL,Hines,Sebastian,D,108576,109826
ORL,Kaka,,M,6660000,7167500
ORL,Lameira,Valdmiro,M,50000,50000
ORL,Larin,Cyle,F,125000,167000
ORL,Molino,Kevin,M,100000,111400
ORL,Mwanga,Danny,F,75000,82500
ORL,Neal,Lewis,M,112500,119103
ORL,Okugo,Amobi,M,275000,300000
ORL,Paterson,Martin,F,150000,150000
ORL,Ramos,Rafael,D,50000,50000
ORL,Redding,Tommy,D,85000,92500
ORL,Ribeiro,Pedro,M,60000,60000
ORL,Ricketts,Donovan,GK,260000,260000
ORL,Rivas,Carlos,M,60000,60000
ORL,Rivera,Sidney,F,50000,50000
ORL,Rochez,Bryan,F,200000,279500
ORL,Shea,Brek,M-D,475000,520000
ORL,St. Ledger,Sean,D,124992,147492
ORL,Turner,Tyler,D,60000,60000
PHI,Aristeguieta,Fernando,F,350004,350004
PHI,Ayuk,Eric,M,50000,50000
PHI,Berry,Austin,D,93519,108519
PHI,Bird,Eric,M,60000,60000
PHI,Blake,Andre,GK,85000,123000
PHI,Carreiro,Fred,M,60000,60000
PHI,Carroll,Brian,M,150000,150000
